Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,d,B,2,0,30,21,1,3.00,2.00,1,-1.00,1,54.00,-63604536721954
0,d,B,2,1,30,21,1,9.00,2.00,1,-1.00,1,82.00,-63604536723167
0,d,B,2,2,30,21,1,15.00,2.00,1,-1.00,1,105.00,-63604536726101
0,d,B,2,3,30,21,1,3.00,2.00,1,-1.00,0,57.00,-63604536728500
0,d,B,2,4,30,21,1,9.00,2.00,1,-1.00,0,85.00,-63604536730021
0,d,B,2,5,30,21,1,15.00,2.00,1,-1.00,0,111.00,-63604536731367
0,d,B,2,6,30,21,1,15.00,2.00,1,-1.00,1,110.00,-63604536732754
0,d,B,2,7,30,21,1,3.00,2.00,1,-1.00,1,68.00,-63604536734821
0,d,B,2,8,30,21,1,9.00,2.00,1,-1.00,0,77.00,-63604536736621
0,d,B,2,9,30,21,1,9.00,2.00,1,-1.00,1,90.00,-63604536738381
0,d,B,2,10,30,21,1,15.00,2.00,1,-1.00,0,104.00,-63604536740007
0,d,B,2,11,30,21,1,3.00,2.00,1,-1.00,0,57.00,-63604536741354
0,d,B,2,12,30,21,1,15.00,2.00,1,-1.00,0,88.00,-63604536742541
0,d,B,2,13,30,21,1,3.00,2.00,1,-1.00,0,59.00,-63604536744340
0,d,B,2,14,30,21,1,9.00,2.00,1,-1.00,0,81.00,-63604536745407
0,d,B,2,15,30,21,1,9.00,2.00,1,-1.00,0,86.00,-63604536746781
0,d,B,2,16,30,21,1,15.00,2.00,1,-1.00,0,100.00,-63604536748874
0,d,B,2,17,30,21,1,3.00,2.00,1,-1.00,1,81.00,-63604536750287
0,d,B,2,18,30,21,1,9.00,2.00,1,-1.00,0,83.00,-63604536752167
0,d,B,2,19,30,21,1,3.00,2.00,1,-1.00,1,79.00,-63604536753541
0,d,B,2,20,30,21,1,9.00,2.00,1,-1.00,0,88.00,-63604536755141
0,d,B,2,21,30,21,1,15.00,2.00,1,-1.00,0,90.00,-63604536756381
0,d,B,2,22,30,21,1,3.00,2.00,1,-1.00,1,72.00,-63604536757752
0,d,B,2,23,30,21,1,9.00,2.00,1,-1.00,0,74.00,-63604536759807
0,d,B,2,24,30,21,1,3.00,2.00,1,-1.00,0,60.00,-63604536761287
0,d,B,2,25,30,21,1,15.00,2.00,1,-1.00,0,107.00,-63604536762274
0,d,B,2,26,30,21,1,3.00,2.00,1,-1.00,0,51.00,-63604536763980
0,d,B,2,27,30,21,1,15.00,2.00,1,-1.00,0,99.00,-63604536765047
0,d,B,2,28,30,21,1,9.00,2.00,1,-1.00,0,82.00,-63604536767127
0,d,B,2,29,30,21,1,15.00,2.00,1,-1.00,0,89.00,-63604536768461
