Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,x,B,3,0,30,21,1.7,15.00,1.00,1,-1.00,1,78.00,-63604537055528
0,x,B,3,1,30,21,1.7,9.00,1.00,1,-1.00,1,93.00,-63604537057968
0,x,B,3,2,30,21,1.7,3.00,1.00,1,-1.00,0,55.00,-63604537060381
0,x,B,3,3,30,21,1.7,15.00,1.00,1,-1.00,0,86.00,-63604537061848
0,x,B,3,4,30,21,1.7,9.00,1.00,1,-1.00,0,81.00,-63604537063368
0,x,B,3,5,30,21,1.7,3.00,1.00,1,-1.00,0,56.00,-63604537064648
0,x,B,3,6,30,21,1.7,3.00,1.00,1,-1.00,0,63.00,-63604537067941
0,x,B,3,7,30,21,1.7,15.00,1.00,1,-1.00,1,85.00,-63604537069235
0,x,B,3,8,30,21,1.7,15.00,1.00,1,-1.00,0,98.00,-63604537073675
0,x,B,3,9,30,21,1.7,9.00,1.00,1,-1.00,0,78.00,-63604537076062
0,x,B,3,10,30,21,1.7,3.00,1.00,1,-1.00,0,60.00,-63604537078341
0,x,B,3,11,30,21,1.7,15.00,1.00,1,-1.00,1,103.00,-63604537079875
0,x,B,3,12,30,21,1.7,9.00,1.00,1,-1.00,0,83.00,-63604537082795
0,x,B,3,13,30,21,1.7,9.00,1.00,1,-1.00,1,85.00,-63604537084715
0,x,B,3,14,30,21,1.7,15.00,1.00,1,-1.00,1,89.00,-63604537086861
0,x,B,3,15,30,21,1.7,9.00,1.00,1,-1.00,1,77.00,-63604537089515
0,x,B,3,16,30,21,1.7,9.00,1.00,1,-1.00,0,79.00,-63604537092221
0,x,B,3,17,30,21,1.7,3.00,1.00,1,-1.00,1,66.00,-63604537094702
0,x,B,3,18,30,21,1.7,3.00,1.00,1,-1.00,0,54.00,-63604537104875
0,x,B,3,19,30,21,1.7,15.00,1.00,1,-1.00,1,112.00,-63604537106875
0,x,B,3,20,30,21,1.7,15.00,1.00,1,-1.00,0,77.00,-63604537110834
0,x,B,3,21,30,21,1.7,3.00,1.00,1,-1.00,1,58.00,-63604537114102
0,x,B,3,22,30,21,1.7,9.00,1.00,1,-1.00,0,74.00,-63604537117355
0,x,B,3,23,30,21,1.7,3.00,1.00,1,-1.00,0,61.00,-63604537119341
0,x,B,3,24,30,21,1.7,9.00,1.00,1,-1.00,0,72.00,-63604537121208
0,x,B,3,25,30,21,1.7,15.00,1.00,1,-1.00,0,78.00,-63604537122822
0,x,B,3,26,30,21,1.7,3.00,1.00,1,-1.00,0,54.00,-63604537124554
0,x,B,3,27,30,21,1.7,9.00,1.00,1,-1.00,0,71.00,-63604537126542
0,x,B,3,28,30,21,1.7,15.00,1.00,1,-1.00,0,90.00,-63604537128008
0,x,B,3,29,30,21,1.7,3.00,1.00,1,-1.00,1,70.00,-63604537130102
