Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,x,B,3,0,30,21,1.7,15.00,2.00,1,-1.00,1,97.00,-63604537364782
0,x,B,3,1,30,21,1.7,9.00,2.00,1,-1.00,0,73.00,-63604537366302
0,x,B,3,2,30,21,1.7,3.00,2.00,1,-1.00,1,82.00,-63604537368288
0,x,B,3,3,30,21,1.7,15.00,2.00,1,-1.00,0,108.00,-63604537370728
0,x,B,3,4,30,21,1.7,9.00,2.00,1,-1.00,0,89.00,-63604537372195
0,x,B,3,5,30,21,1.7,3.00,2.00,1,-1.00,0,67.00,-63604537375062
0,x,B,3,6,30,21,1.7,3.00,2.00,1,-1.00,0,62.00,-63604537376088
0,x,B,3,7,30,21,1.7,15.00,2.00,1,-1.00,1,109.00,-63604537377276
0,x,B,3,8,30,21,1.7,15.00,2.00,1,-1.00,0,95.00,-63604537379262
0,x,B,3,9,30,21,1.7,9.00,2.00,1,-1.00,1,109.00,-63604537381529
0,x,B,3,10,30,21,1.7,3.00,2.00,1,-1.00,0,61.00,-63604537384035
0,x,B,3,11,30,21,1.7,15.00,2.00,1,-1.00,1,104.00,-63604537385515
0,x,B,3,12,30,21,1.7,9.00,2.00,1,-1.00,1,79.00,-63604537391409
0,x,B,3,13,30,21,1.7,9.00,2.00,1,-1.00,0,83.00,-63604537393569
0,x,B,3,14,30,21,1.7,15.00,2.00,1,-1.00,0,102.00,-63604537394822
0,x,B,3,15,30,21,1.7,9.00,2.00,1,-1.00,1,91.00,-63604537397022
0,x,B,3,16,30,21,1.7,9.00,2.00,1,-1.00,1,99.00,-63604537399729
0,x,B,3,17,30,21,1.7,3.00,2.00,1,-1.00,0,71.00,-63604537402329
0,x,B,3,18,30,21,1.7,3.00,2.00,1,-1.00,0,66.00,-63604537403449
0,x,B,3,19,30,21,1.7,15.00,2.00,1,-1.00,1,100.00,-63604537404543
0,x,B,3,20,30,21,1.7,15.00,2.00,1,-1.00,0,87.00,-63604537406835
0,x,B,3,21,30,21,1.7,3.00,2.00,1,-1.00,0,61.00,-63604537409183
0,x,B,3,22,30,21,1.7,9.00,2.00,1,-1.00,0,74.00,-63604537410316
0,x,B,3,23,30,21,1.7,3.00,2.00,1,-1.00,0,72.00,-63604537412382
0,x,B,3,24,30,21,1.7,9.00,2.00,1,-1.00,0,66.00,-63604537413422
0,x,B,3,25,30,21,1.7,15.00,2.00,1,-1.00,0,84.00,-63604537415036
0,x,B,3,26,30,21,1.7,3.00,2.00,1,-1.00,0,62.00,-63604537416595
0,x,B,3,27,30,21,1.7,9.00,2.00,1,-1.00,0,87.00,-63604537417782
0,x,B,3,28,30,21,1.7,15.00,2.00,1,-1.00,0,82.00,-63604537419009
0,x,B,3,29,30,21,1.7,3.00,2.00,1,-1.00,0,61.00,-63604537421303
