Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,x,A,2,0,30,21,1,15.00,1.00,1,-1.00,1,74.00,-63604536968661
0,x,A,2,1,30,21,1,9.00,1.00,1,-1.00,0,78.00,-63604536972301
0,x,A,2,2,30,21,1,3.00,1.00,1,-1.00,0,55.00,-63604536973755
0,x,A,2,3,30,21,1,15.00,1.00,1,-1.00,0,83.00,-63604536975288
0,x,A,2,4,30,21,1,9.00,1.00,1,-1.00,1,78.00,-63604536979075
0,x,A,2,5,30,21,1,3.00,1.00,1,-1.00,0,49.00,-63604536982088
0,x,A,2,6,30,21,1,3.00,1.00,1,-1.00,0,48.00,-63604536983275
0,x,A,2,7,30,21,1,15.00,1.00,1,-1.00,0,76.00,-63604536984648
0,x,A,2,8,30,21,1,15.00,1.00,1,-1.00,1,112.00,-63604536988741
0,x,A,2,9,30,21,1,9.00,1.00,1,-1.00,0,61.00,-63604536992461
0,x,A,2,10,30,21,1,3.00,1.00,1,-1.00,1,60.00,-63604536994408
0,x,A,2,11,30,21,1,15.00,1.00,1,-1.00,1,87.00,-63604536997514
0,x,A,2,12,30,21,1,9.00,1.00,1,-1.00,0,81.00,-63604537000874
0,x,A,2,13,30,21,1,9.00,1.00,1,-1.00,0,77.00,-63604537002728
0,x,A,2,14,30,21,1,15.00,1.00,1,-1.00,0,80.00,-63604537004754
0,x,A,2,15,30,21,1,9.00,1.00,1,-1.00,1,70.00,-63604537007235
0,x,A,2,16,30,21,1,9.00,1.00,1,-1.00,1,77.00,-63604537011955
0,x,A,2,17,30,21,1,3.00,1.00,1,-1.00,1,44.00,-63604537014662
0,x,A,2,18,30,21,1,3.00,1.00,1,-1.00,0,49.00,-63604537017981
0,x,A,2,19,30,21,1,15.00,1.00,1,-1.00,1,97.00,-63604537019235
0,x,A,2,20,30,21,1,15.00,1.00,1,-1.00,1,87.00,-63604537023355
0,x,A,2,21,30,21,1,3.00,1.00,1,-1.00,1,59.00,-63604537027221
0,x,A,2,22,30,21,1,9.00,1.00,1,-1.00,1,69.00,-63604537030088
0,x,A,2,23,30,21,1,3.00,1.00,1,-1.00,0,50.00,-63604537033421
0,x,A,2,24,30,21,1,9.00,1.00,1,-1.00,1,71.00,-63604537034728
0,x,A,2,25,30,21,1,15.00,1.00,1,-1.00,1,89.00,-63604537038061
0,x,A,2,26,30,21,1,3.00,1.00,1,-1.00,0,60.00,-63604537042475
0,x,A,2,27,30,21,1,9.00,1.00,1,-1.00,0,65.00,-63604537043541
0,x,A,2,28,30,21,1,15.00,1.00,1,-1.00,0,97.00,-63604537045168
0,x,A,2,29,30,21,1,3.00,1.00,1,-1.00,0,55.00,-63604537047421
