Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,d,A,1,0,20,21,1,3.00,2.00,1,-1.00,1,50.00,-63604536656794
0,d,A,1,1,20,21,1,9.00,2.00,1,-1.00,0,79.00,-63604536660834
0,d,A,1,2,20,21,1,15.00,2.00,1,-1.00,0,88.00,-63604536662301
0,d,A,1,3,20,21,1,3.00,2.00,1,-1.00,1,77.00,-63604536663940
0,d,A,1,4,20,21,1,9.00,2.00,1,-1.00,1,88.00,-63604536666140
0,d,A,1,5,20,21,1,15.00,2.00,1,-1.00,1,90.00,-63604536668847
0,d,A,1,6,20,21,1,15.00,2.00,1,-1.00,0,84.00,-63604536671020
0,d,A,1,7,20,21,1,3.00,2.00,1,-1.00,0,39.00,-63604536672501
0,d,A,1,8,20,21,1,9.00,2.00,1,-1.00,0,67.00,-63604536673514
0,d,A,1,9,20,21,1,9.00,2.00,1,-1.00,0,92.00,-63604536674834
0,d,A,1,10,20,21,1,15.00,2.00,1,-1.00,1,104.00,-63604536676994
0,d,A,1,11,20,21,1,3.00,2.00,1,-1.00,0,48.00,-63604536679074
0,d,A,1,12,20,21,1,15.00,2.00,1,-1.00,1,80.00,-63604536680434
0,d,A,1,13,20,21,1,3.00,2.00,1,-1.00,0,41.00,-63604536682461
0,d,A,1,14,20,21,1,9.00,2.00,1,-1.00,0,74.00,-63604536683701
0,d,A,1,15,20,21,1,9.00,2.00,1,-1.00,0,72.00,-63604536685021
0,d,A,1,16,20,21,1,15.00,2.00,1,-1.00,0,74.00,-63604536686287
0,d,A,1,17,20,21,1,3.00,2.00,1,-1.00,1,85.00,-63604536688340
0,d,A,1,18,20,21,1,9.00,2.00,1,-1.00,0,72.00,-63604536691061
0,d,A,1,19,20,21,1,3.00,2.00,1,-1.00,0,51.00,-63604536692367
0,d,A,1,20,20,21,1,9.00,2.00,1,-1.00,0,54.00,-63604536693460
0,d,A,1,21,20,21,1,15.00,2.00,1,-1.00,0,74.00,-63604536695061
0,d,A,1,22,20,21,1,3.00,2.00,1,-1.00,0,55.00,-63604536696687
0,d,A,1,23,20,21,1,9.00,2.00,1,-1.00,0,82.00,-63604536699127
0,d,A,1,24,20,21,1,3.00,2.00,1,-1.00,0,52.00,-63604536700327
0,d,A,1,25,20,21,1,15.00,2.00,1,-1.00,0,94.00,-63604536701354
0,d,A,1,26,20,21,1,3.00,2.00,1,-1.00,0,47.00,-63604536702821
0,d,A,1,27,20,21,1,15.00,2.00,1,-1.00,1,83.00,-63604536703861
0,d,A,1,28,20,21,1,9.00,2.00,1,-1.00,1,85.00,-63604536707100
0,d,A,1,29,20,21,1,15.00,2.00,1,-1.00,0,85.00,-63604536711981
