Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,A,3,1,30,30,1,9.00,2.00,1,-1.00,1,96.00,-63604535824112
0,s,A,3,2,30,30,1,15.00,2.00,1,-1.00,1,131.00,-63604535825805
0,s,A,3,3,30,30,1,3.00,2.00,1,-1.00,0,49.00,-63604535828925
0,s,A,3,4,30,30,1,9.00,2.00,1,-1.00,0,88.00,-63604535830085
0,s,A,3,5,30,30,1,15.00,2.00,1,-1.00,1,105.00,-63604535831272
0,s,A,3,6,30,30,1,3.00,2.00,1,-1.00,1,81.00,-63604535834458
0,s,A,3,7,30,30,1,9.00,2.00,1,-1.00,1,87.00,-63604535838112
0,s,A,3,8,30,30,1,15.00,2.00,1,-1.00,1,83.00,-63604535840979
0,s,A,3,9,30,30,1,15.00,2.00,1,-1.00,1,107.00,-63604535844019
0,s,A,3,10,30,30,1,9.00,2.00,1,-1.00,0,62.00,-63604535846165
0,s,A,3,11,30,30,1,15.00,2.00,1,-1.00,0,101.00,-63604535848752
0,s,A,3,12,30,30,1,9.00,2.00,1,-1.00,1,97.00,-63604535850792
0,s,A,3,13,30,30,1,15.00,2.00,1,-1.00,0,80.00,-63604535852685
0,s,A,3,14,30,30,1,9.00,2.00,1,-1.00,0,74.00,-63604535854299
0,s,A,3,15,30,30,1,3.00,2.00,1,-1.00,0,50.00,-63604535855499
0,s,A,3,16,30,30,1,15.00,2.00,1,-1.00,1,93.00,-63604535856645
0,s,A,3,17,30,30,1,3.00,2.00,1,-1.00,0,59.00,-63604535860432
0,s,A,3,18,30,30,1,3.00,2.00,1,-1.00,1,67.00,-63604535862165
0,s,A,3,19,30,30,1,3.00,2.00,1,-1.00,1,59.00,-63604535866045
0,s,A,3,20,30,30,1,9.00,2.00,1,-1.00,1,76.00,-63604535868605
0,s,A,3,21,30,30,1,9.00,2.00,1,-1.00,0,73.00,-63604535871312
0,s,A,3,22,30,30,1,3.00,2.00,1,-1.00,0,39.00,-63604535873125
0,s,A,3,23,30,30,1,15.00,2.00,1,-1.00,0,85.00,-63604535874405
0,s,A,3,24,30,30,1,9.00,2.00,1,-1.00,0,53.00,-63604535876259
0,s,A,3,25,30,30,1,3.00,2.00,1,-1.00,0,54.00,-63604535877819
0,s,A,3,26,30,30,1,15.00,2.00,1,-1.00,0,69.00,-63604535879579
0,s,A,3,27,30,30,1,15.00,2.00,1,-1.00,0,120.00,-63604535881512
0,s,A,3,28,30,30,1,9.00,2.00,1,-1.00,1,76.00,-63604535883125
0,s,A,3,29,30,30,1,3.00,2.00,1,-1.00,1,44.00,-63604535887272
0,s,B,1,0,30,14,1,3.00,2.00,1,-1.00,1,62.00,-63604535899699
0,s,B,1,1,30,14,1,9.00,2.00,1,-1.00,0,94.00,-63604535902525
0,s,B,1,2,30,14,1,15.00,2.00,1,-1.00,0,105.00,-63604535904072
0,s,B,1,3,30,14,1,3.00,2.00,1,-1.00,0,66.00,-63604535905912
0,s,B,1,4,30,14,1,9.00,2.00,1,-1.00,0,104.00,-63604535907245
0,s,B,1,5,30,14,1,15.00,2.00,1,-1.00,0,100.00,-63604535908592
0,s,B,1,6,30,14,1,3.00,2.00,1,-1.00,0,57.00,-63604535910459
0,s,B,1,7,30,14,1,9.00,2.00,1,-1.00,1,94.00,-63604535911765
0,s,B,1,8,30,14,1,15.00,2.00,1,-1.00,0,105.00,-63604535914565
