Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,d,C,3,0,40,21,1,3.00,2.00,1,-1.00,1,76.00,-63604536778554
0,d,C,3,1,40,21,1,9.00,2.00,1,-1.00,0,107.00,-63604536780167
0,d,C,3,2,40,21,1,15.00,2.00,1,-1.00,0,111.00,-63604536781421
0,d,C,3,3,40,21,1,3.00,2.00,1,-1.00,0,66.00,-63604536783341
0,d,C,3,4,40,21,1,9.00,2.00,1,-1.00,0,102.00,-63604536784634
0,d,C,3,5,40,21,1,15.00,2.00,1,-1.00,0,116.00,-63604536785874
0,d,C,3,6,40,21,1,15.00,2.00,1,-1.00,0,106.00,-63604536787287
0,d,C,3,7,40,21,1,3.00,2.00,1,-1.00,0,79.00,-63604536788621
0,d,C,3,8,40,21,1,9.00,2.00,1,-1.00,1,96.00,-63604536789661
0,d,C,3,9,40,21,1,9.00,2.00,1,-1.00,0,121.00,-63604536791301
0,d,C,3,10,40,21,1,15.00,2.00,1,-1.00,0,126.00,-63604536792381
0,d,C,3,11,40,21,1,3.00,2.00,1,-1.00,0,94.00,-63604536793714
0,d,C,3,12,40,21,1,15.00,2.00,1,-1.00,0,110.00,-63604536795794
0,d,C,3,13,40,21,1,3.00,2.00,1,-1.00,0,84.00,-63604536797167
0,d,C,3,14,40,21,1,9.00,2.00,1,-1.00,0,82.00,-63604536798114
0,d,C,3,15,40,21,1,9.00,2.00,1,-1.00,1,101.00,-63604536799420
0,d,C,3,16,40,21,1,15.00,2.00,1,-1.00,0,125.00,-63604536801901
0,d,C,3,17,40,21,1,3.00,2.00,1,-1.00,0,88.00,-63604536803327
0,d,C,3,18,40,21,1,9.00,2.00,1,-1.00,0,98.00,-63604536804300
0,d,C,3,19,40,21,1,3.00,2.00,1,-1.00,0,82.00,-63604536805514
0,d,C,3,20,40,21,1,9.00,2.00,1,-1.00,0,102.00,-63604536806581
0,d,C,3,21,40,21,1,15.00,2.00,1,-1.00,1,134.00,-63604536807874
0,d,C,3,22,40,21,1,3.00,2.00,1,-1.00,0,65.00,-63604536809821
0,d,C,3,23,40,21,1,9.00,2.00,1,-1.00,0,94.00,-63604536811007
0,d,C,3,24,40,21,1,3.00,2.00,1,-1.00,0,73.00,-63604536812301
0,d,C,3,25,40,21,1,15.00,2.00,1,-1.00,0,121.00,-63604536813487
0,d,C,3,26,40,21,1,3.00,2.00,1,-1.00,1,74.00,-63604536814821
0,d,C,3,27,40,21,1,15.00,2.00,1,-1.00,0,127.00,-63604536816981
0,d,C,3,28,40,21,1,9.00,2.00,1,-1.00,0,97.00,-63604536818394
0,d,C,3,29,40,21,1,15.00,2.00,1,-1.00,1,124.00,-63604536819674
