Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,d,C,3,0,40,21,1,3.00,1.00,1,-1.00,1,67.00,-63604536571461
0,d,C,3,1,40,21,1,9.00,1.00,1,-1.00,1,86.00,-63604536573020
0,d,C,3,2,40,21,1,15.00,1.00,1,-1.00,1,108.00,-63604536575327
0,d,C,3,3,40,21,1,3.00,1.00,1,-1.00,0,66.00,-63604536577927
0,d,C,3,4,40,21,1,9.00,1.00,1,-1.00,1,85.00,-63604536579394
0,d,C,3,5,40,21,1,15.00,1.00,1,-1.00,0,102.00,-63604536582007
0,d,C,3,6,40,21,1,15.00,1.00,1,-1.00,0,92.00,-63604536583567
0,d,C,3,7,40,21,1,3.00,1.00,1,-1.00,1,69.00,-63604536585127
0,d,C,3,8,40,21,1,9.00,1.00,1,-1.00,0,88.00,-63604536587287
0,d,C,3,9,40,21,1,9.00,1.00,1,-1.00,0,91.00,-63604536589660
0,d,C,3,10,40,21,1,15.00,1.00,1,-1.00,1,122.00,-63604536591527
0,d,C,3,11,40,21,1,3.00,1.00,1,-1.00,0,62.00,-63604536594087
0,d,C,3,12,40,21,1,15.00,1.00,1,-1.00,1,117.00,-63604536596260
0,d,C,3,13,40,21,1,3.00,1.00,1,-1.00,1,76.00,-63604536598994
0,d,C,3,14,40,21,1,9.00,1.00,1,-1.00,1,90.00,-63604536600954
0,d,C,3,15,40,21,1,9.00,1.00,1,-1.00,0,79.00,-63604536604606
0,d,C,3,16,40,21,1,15.00,1.00,1,-1.00,0,100.00,-63604536606113
0,d,C,3,17,40,21,1,3.00,1.00,1,-1.00,0,64.00,-63604536607847
0,d,C,3,18,40,21,1,9.00,1.00,1,-1.00,0,96.00,-63604536608980
0,d,C,3,19,40,21,1,3.00,1.00,1,-1.00,1,72.00,-63604536611233
0,d,C,3,20,40,21,1,9.00,1.00,1,-1.00,1,95.00,-63604536613527
0,d,C,3,21,40,21,1,15.00,1.00,1,-1.00,1,131.00,-63604536615954
0,d,C,3,22,40,21,1,3.00,1.00,1,-1.00,0,54.00,-63604536619354
0,d,C,3,23,40,21,1,9.00,1.00,1,-1.00,0,94.00,-63604536621167
0,d,C,3,24,40,21,1,3.00,1.00,1,-1.00,1,71.00,-63604536622420
0,d,C,3,25,40,21,1,15.00,1.00,1,-1.00,1,115.00,-63604536624220
0,d,C,3,26,40,21,1,3.00,1.00,1,-1.00,0,73.00,-63604536630380
0,d,C,3,27,40,21,1,15.00,1.00,1,-1.00,0,113.00,-63604536631554
0,d,C,3,28,40,21,1,9.00,1.00,1,-1.00,0,81.00,-63604536632980
0,d,C,3,29,40,21,1,15.00,1.00,1,-1.00,0,114.00,-63604536634941
