Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,x,C,1,0,30,21,0.5,15.00,1.00,1,-1.00,1,74.00,-63604537140568
0,x,C,1,1,30,21,0.5,9.00,1.00,1,-1.00,1,76.00,-63604537151915
0,x,C,1,2,30,21,0.5,3.00,1.00,1,-1.00,1,46.00,-63604537154995
0,x,C,1,3,30,21,0.5,15.00,1.00,1,-1.00,0,70.00,-63604537157368
0,x,C,1,4,30,21,0.5,9.00,1.00,1,-1.00,0,60.00,-63604537159088
0,x,C,1,5,30,21,0.5,3.00,1.00,1,-1.00,0,44.00,-63604537160569
0,x,C,1,6,30,21,0.5,3.00,1.00,1,-1.00,1,40.00,-63604537161622
0,x,C,1,7,30,21,0.5,15.00,1.00,1,-1.00,1,114.00,-63604537171434
0,x,C,1,8,30,21,0.5,15.00,1.00,1,-1.00,1,75.00,-63604537183515
0,x,C,1,9,30,21,0.5,9.00,1.00,1,-1.00,0,70.00,-63604537188129
0,x,C,1,10,30,21,0.5,3.00,1.00,1,-1.00,0,42.00,-63604537189728
0,x,C,1,11,30,21,0.5,15.00,1.00,1,-1.00,0,77.00,-63604537191968
0,x,C,1,12,30,21,0.5,9.00,1.00,1,-1.00,1,65.00,-63604537193648
0,x,C,1,13,30,21,0.5,9.00,1.00,1,-1.00,1,114.00,-63604537202554
0,x,C,1,14,30,21,0.5,15.00,1.00,1,-1.00,0,81.00,-63604537205568
0,x,C,1,15,30,21,0.5,9.00,1.00,1,-1.00,0,72.00,-63604537208395
0,x,C,1,16,30,21,0.5,9.00,1.00,1,-1.00,0,51.00,-63604537209769
0,x,C,1,17,30,21,0.5,3.00,1.00,1,-1.00,0,45.00,-63604537211354
0,x,C,1,18,30,21,0.5,3.00,1.00,1,-1.00,0,45.00,-63604537212675
0,x,C,1,19,30,21,0.5,15.00,1.00,1,-1.00,0,82.00,-63604537214128
0,x,C,1,20,30,21,0.5,15.00,1.00,1,-1.00,1,81.00,-63604537215781
0,x,C,1,21,30,21,0.5,3.00,1.00,1,-1.00,1,40.00,-63604537222835
0,x,C,1,22,30,21,0.5,9.00,1.00,1,-1.00,0,69.00,-63604537230448
0,x,C,1,23,30,21,0.5,3.00,1.00,1,-1.00,0,49.00,-63604537231914
0,x,C,1,24,30,21,0.5,9.00,1.00,1,-1.00,1,65.00,-63604537233355
0,x,C,1,25,30,21,0.5,15.00,1.00,1,-1.00,1,90.00,-63604537236395
0,x,C,1,26,30,21,0.5,3.00,1.00,1,-1.00,0,38.00,-63604537245208
0,x,C,1,27,30,21,0.5,9.00,1.00,1,-1.00,1,63.00,-63604537247129
0,x,C,1,28,30,21,0.5,15.00,1.00,1,-1.00,1,87.00,-63604537250955
0,x,C,1,29,30,21,0.5,3.00,1.00,1,-1.00,0,49.00,-63604537256075
